ID,Suburb,WaterView,FloodingZone,LogDistance,LogLand,LogFloor,LogValue2022,,,Leg.Desc,Full Address,Lat,Long,Distance to Coast,Land Area,Floor Area,Value 2022,,,,,
108,Southshore,0,1,4.859734882,7.069874128,4.094344562,13.97073592,,,Lot 1 DP 24125,64 ROCKING HORSE RD,-43.5438963,172.7441644,128.99,1176,60,"$1,167,921.13",,,,,
109,South New Brighton,0,1,5.794475953,6.142037406,5.049856007,12.96531221,,,Lot 1 DP 24405,347 ESTUARY RD,-43.5349449,172.7379466,328.48,465,156,"$427,330.17",,,,,
110,South New Brighton,0,0,5.641587871,6.284134161,4.700480366,13.51610459,,,Lot 1 DP 24478,335 PINE AV,-43.5332596,172.7390974,281.91,536,110,"$741,258.42",,,,,
111,New Brighton,0,0,6.241386339,6.226536669,4.49980967,13.08154138,,,Lot 1 DP 24884,15 BLAKE ST,-43.5220582,172.7311136,513.57,506,90,"$480,000.00",,,,,
112,South New Brighton,0,0,5.952931597,6.670766321,4.955827058,13.62824561,,,Lot 1 DP 25074,27 SANDRA ST,-43.5299321,172.7365538,384.88,789,142,"$829,224.00",,,,,
113,North New Brighton,0,0,6.751674404,6.424869024,5.135798437,13.6461893,,,Lot 1 DP 25163,164 PACIFIC RD,-43.4923355,172.7156128,855.49,617,170,"$844,237.64",,,,,
114,South New Brighton,0,0,6.033853314,6.408528791,4.49980967,13.52311469,,,Lot 1 DP 25298,115 ESTUARY RD,-43.5241589,172.7333125,417.32,607,90,"$746,472.97",,,,,
115,New Brighton,0,0,6.820376562,6.190315406,4.700480366,13.40459609,,,Lot 1 DP 25448,1 SINCLAIR ST,-43.5022858,172.7185693,916.33,488,110,"$663,043.64",,,,,
116,North New Brighton,0,0,7.055597531,6.429719478,4.86753445,13.75795428,,,Lot 1 DP 25936,285 BOWER AV,-43.4908245,172.7113492,1159.33,620,130,"$944,068.76",,,,,
117,Southshore,1,1,4.747884288,6.408528791,4.744932128,13.77841312,,,Lot 1 DP 25957,162 ROCKING HORSE RD,-43.5525443,172.7485272,115.34,607,115,"$963,582.24",,,,,
118,New Brighton,0,0,6.040326137,7.082548569,5.347107531,13.60379014,,,Lot 1 DP 25982,155 SHAW AV,-43.5050837,172.7256959,420.03,1191,210,"$809,190.90",,,,,
119,South New Brighton,0,0,5.318463072,6.226536669,4.770684624,12.73380873,,,Lot 1 DP 26102,3 BEATTY ST,-43.5270759,172.7374362,204.07,506,118,"$339,018.08",,,,,
120,North New Brighton,0,0,6.458510682,6.408528791,4.644390899,13.38266982,,,Lot 1 DP 26186,4 ENDEAVOUR ST,-43.4904238,172.717706,638.11,607,104,"$648,663.79",,,,,
121,Southshore,0,1,4.648133885,6.302618976,4.700480366,13.27870544,,,Lot 1 DP 26246,156 ROCKING HORSE RD,-43.5520358,172.7483268,104.39,546,110,"$584,613.04",,,,,
122,New Brighton,0,1,6.80380488,6.408528791,4.624972813,13.22261773,,,Lot 1 DP 26357,370 KEYES RD,-43.5067495,172.7207196,901.27,607,102,"$552,726.03",,,,,
123,North New Brighton,0,0,7.175022887,6.413458957,4.521788577,13.34483536,,,Lot 1 DP 26399,2 BADGER ST,-43.4858499,172.707921,1306.39,610,92,"$624,580.41",,,,,
124,New Brighton,0,0,7.085357383,6.230481448,4.430816799,13.26143838,,,Lot 1 DP 26433,53 ROOKWOOD AV,-43.4955388,172.7129204,1194.35,508,84,"$574,605.14",,,,,
125,New Brighton,1,1,6.112420322,6.216606101,4.718498871,13.5694402,,,Lot 1 DP 26517,20 FALCON ST,-43.5209892,172.729494,451.43,501,112,"$781,867.21",,,,,
126,New Brighton,0,0,5.849872181,6.499787041,4.465908119,13.26416572,,,Lot 1 DP 26537,75 UNION ST,-43.5113615,172.7291496,347.19,665,87,"$576,174.43",,,,,
127,South New Brighton,0,0,5.726815174,7.207859871,4.836281907,12.90021511,,,Lot 1 DP 26741,116 PINE AV,-43.5236039,172.7344619,306.99,1350,126,"$400,398.31",,,,,
128,South New Brighton,0,0,5.989487594,6.120297419,4.49980967,13.39487487,,,Lot 1 DP 27154,307 ESTUARY RD,-43.5328845,172.7370591,399.21,455,90,"$656,629.28",,,,,
129,South New Brighton,0,0,5.680991386,6.131226489,5.204006687,13.08341587,,,Lot 1 DP 27408,240 ESTUARY RD,-43.5301475,172.7354482,293.24,460,182,"$480,900.60",,,,,
130,North New Brighton,0,0,6.071984064,6.246106765,4.605170186,13.56628686,,,Lot 1 DP 27481,63 LEAVER TC,-43.4951636,172.7222804,433.54,516,100,"$779,405.60",,,,,
131,New Brighton,0,0,6.014497246,6.040254711,4.442651256,13.25314693,,,Lot 1 DP 27570,60 UNION ST,-43.5107418,172.7283319,409.32,420,85,"$569,860.53",,,,,
132,South New Brighton,1,0,5.068400931,6.674561392,4.605170186,13.81406564,,,Lot 1 DP 27625,488 MARINE PD,-43.5326097,172.7403354,158.92,792,100,"$998,556.13",,,,,
133,North New Brighton,0,0,6.569285048,6.464588304,4.644390899,13.04062516,,,Lot 1 DP 27809,3 ROYALIST AV,-43.4905054,172.7167701,712.86,642,104,"$460,756.58",,,,,
134,New Brighton,0,0,5.075486266,6.261491684,4.605170186,13.30290326,,,Lot 1 DP 28224,1 BELLAMY AV,-43.5205509,172.7351257,160.05,524,100,"$598,931.95",,,,,
135,North New Brighton,0,0,6.023374951,6.003887067,4.33073334,12.71254081,,,Lot 1 DP 28352,59 LEAVER TC,-43.4950996,172.7225295,412.97,405,76,"$331,884.01",,,,,
136,New Brighton,0,1,6.117722679,6.216606101,4.248495242,12.59273041,,,Lot 1 DP 28579,127 UNION ST,-43.5149774,172.7294275,453.83,501,70,"$294,410.52",,,,,
137,New Brighton,0,0,4.864529941,6.001414878,4.700480366,13.21256739,,,Lot 1 DP 28782,7 LONSDALE ST,-43.5029972,172.7287588,129.61,404,110,"$547,198.77",,,,,
138,New Brighton,0,0,7.239322649,6.843749949,4.941642423,13.12799879,,,Lot 1 DP 28784,148 BOWER AV,-43.4982621,172.7110888,1393.15,938,140,"$502,825.66",,,,,
139,Southshore,0,1,4.45597388,6.638567789,4.934473933,13.15004703,,,Lot 1 DP 28790,132 ROCKING HORSE RD,-43.5499803,172.747275,86.14,764,139,"$514,035.20",,,,,
140,New Brighton,0,0,5.264657165,6.335054251,4.8978398,13.61226,,,Lot 1 DP 2880,83 ORAM AV,-43.511445,172.7312678,193.38,564,134,"$816,073.75",,,,,
141,North New Brighton,0,0,6.54801851,6.408528791,4.828313737,13.36922346,,,Lot 1 DP 28828,7 ENDEAVOUR ST,-43.4909273,172.7171757,697.86,607,125,"$640,000.00",,,,,
